shopify_product_id,title,handle,public_url,ean_sku_barcode,shopify_inventory_quantity,inventory_policy,public_purchase_state,supplier_identity_method,supplier_identity_evidence,supplier_title,supplier_ref,supplier_url,supplier_availability,supplier_availability_evidence,supplier_checked_at,conversion_priority,collection_page_1_evidence,collections_checked_at,recommendation_not_executed
10637436584283,Boucles d'oreilles dorées en aigue-marine naturelle - 36 mm,boucles-d-oreilles-dorees-en-aigue-marine-naturelle-36-mm,https://milaura.fr/products/boucles-d-oreilles-dorees-en-aigue-marine-naturelle-36-mm,3667407007604,0,CONTINUE,buyable_at_zero,exact_reference,EAN/SKU Shopify 3667407007604 = référence fournisseur 3667407007604.,BOUCLE D'OREILLE CLÉA DORÉE AIGUE MARINE A (1 PAIRE),3667407007604,https://camille-ambiance-nature.fr/produit/boucle-doreille-clea-doree-aigue-marine-a-1-paire,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Bestsellers (rang 1, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: contrôler délai, prix et unité de vente, puis conserver la vente fournisseur avec le marqueur interne Produit à commander et un contenu actuel. Aucune action exécutée."
10357486027099,Bracelet Aventurine Rouge 10mm,bracelet-aventurine-rouge-1,https://milaura.fr/products/bracelet-aventurine-rouge-1,3701459015641,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3701459015641 = référence fournisseur 3701459015641.,BRACELET BOULE 10MM AVENTURINE ROUGE A,3701459015641,https://camille-ambiance-nature.fr/produit/bracelet-boule-10mm-aventurine-rouge-a,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Bestsellers (rang 10, première page observée) | Bijoux & Pierres Naturelles (rang 4, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10357440446811,Bracelet Baroque Labradorite,bracelet-labradorite,https://milaura.fr/products/bracelet-labradorite,3701459019007,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3701459019007 = référence fournisseur 3701459019007.,BRACELET BAROQUE LABRADORITE AA (LOT 5 PIÈCES),3701459019007,https://camille-ambiance-nature.fr/produit/bracelet-baroque-labradorite-aa-lot-5-pi%C3%A8ces,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Bijoux & Pierres Naturelles (rang 12, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10488166220123,Bracelet Lapis Lazuli Onyx,bracelet-celyos-argente-lapis-lazuli-onyx-a,https://milaura.fr/products/bracelet-celyos-argente-lapis-lazuli-onyx-a,,0,DENY,out_of_stock_non_buyable,exact_supplier_handle,Handle Shopify bracelet-celyos-argente-lapis-lazuli-onyx-a = handle fournisseur bracelet-celyos-argente-lapis-lazuli-onyx-a.,"BRACELET CÉLYOS ARGENTÉ LAPIS LAZULI, ONYX A",3701459098057,https://camille-ambiance-nature.fr/produit/bracelet-celyos-argente-lapis-lazuli-onyx-a,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Bracelets pierres (rang 1, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10357692105051,Bâton de Sauge Blanche et Cèdre,sauge-blanche-et-cedre,https://milaura.fr/products/sauge-blanche-et-cedre,3701459086603,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3701459086603 = référence fournisseur 3701459086603.,BÂTON DE SAUGE BLANCHE AVEC CÈDRE ET FLEUR DE PAILLE 100MM (LOT 3 PIÈCES),3701459086603,https://camille-ambiance-nature.fr/produit/b%C3%A2ton-de-sauge-blanche-avec-c%C3%A8dre-et-fleur-de-paille-100mm-lot-3-pi%C3%A8ces,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Rituels & Bien-être (rang 4, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10357710029147,Distributeur Savon Quartz Rose,savon-quartz-rose,https://milaura.fr/products/savon-quartz-rose,3667407007444,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3667407007444 = référence fournisseur 3667407007444.,DISTRIBUTEUR DE SAVON PIERRE POLIE 150MM QUARTZ ROSE BRÉSIL A (1 PIÈCE),3667407007444,https://camille-ambiance-nature.fr/produit/distributeur-de-savon-pierre-polie-150mm-quartz-rose-bresil-a-1-piece,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Bestsellers (rang 4, première page observée) | Rituels & Bien-être (rang 7, première page observée) | Savons naturels (rang 6, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10358580412763,Oeuf Agate,oeuf-agate,https://milaura.fr/products/oeuf-agate,3701459093267,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3701459093267 = référence fournisseur 3701459093267.,OEUF AGATE CRISTALLISÉE AA+ 30 À 40MM (1 PIÈCE),3701459093267,https://camille-ambiance-nature.fr/produit/oeuf-agate-cristallisee-aa-30-a-40mm-1-piece,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Pierres & Minéraux (rang 3, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10359675158875,Orgonite Pointe Obsidienne,pointe-obsidienne,https://milaura.fr/products/pointe-obsidienne,3667407000414,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3667407000414 = référence fournisseur 3667407000414.,ORGONITE 60MM POINTE OBSIDIENNE NOIRE A (1 PIÈCE),3667407000414,https://camille-ambiance-nature.fr/produit/orgonite-60mm-pointe-obsidienne-noire-a-1-pi%C3%A8ce,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Pierres & Minéraux (rang 2, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10357635547483,Pendentif Aventurine,pendentif-aventurine,https://milaura.fr/products/pendentif-aventurine,3701459007158,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3701459007158 = référence fournisseur 3701459007158.,PENDENTIF COEUR 15MM AVENTURINE VERTE A (LOT 10 PIÈCES),3701459007158,https://camille-ambiance-nature.fr/produit/pendentif-coeur-15mm-aventurine-verte-a-lot-10-pi%C3%A8ces,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Pendentifs (rang 9, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10357641904475,Pendentif Chrysocolle,pendentif-chrysocolle,https://milaura.fr/products/pendentif-chrysocolle,3701459069101,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3701459069101 = référence fournisseur 3701459069101.,PENDENTIF PIERRE BRUTE CHRYSOCOLLE PÉROU AA 30 À 40MM (LOT 3 PIÈCES),3701459069101,https://camille-ambiance-nature.fr/produit/pendentif-pierre-brute-chrysocolle-perou-aa-30-%C3%A0-40mm-lot-3-pi%C3%A8ces,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Pendentifs (rang 7, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10357660221787,Pendentif Rhodonite Serti Ovale,pendentif-rhodonite,https://milaura.fr/products/pendentif-rhodonite,3701459096725,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3701459096725 = référence fournisseur 3701459096725.,PENDENTIF SERTI OVALE RHODONITE BRÉSIL A (LOT 2 PIÈCES),3701459096725,https://camille-ambiance-nature.fr/produit/pendentif-serti-ovale-rhodonite-bresil-a-lot-2-pieces,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Pendentifs (rang 5, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10359677157723,Pendule Cornaline,pendule-cornaline,https://milaura.fr/products/pendule-cornaline,3701459053780,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3701459053780 = référence fournisseur 3701459053780.,PENDULE CONIQUE CORNALINE A (LOT 3 PIÈCES),3701459053780,https://camille-ambiance-nature.fr/produit/pendule-conique-cornaline-a-lot-3-pieces,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Rituels & Bien-être (rang 10, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
10358876275035,Pendule Cristal de Roche,pendule-cristal-de-roche,https://milaura.fr/products/pendule-cristal-de-roche,3701459037605,0,DENY,out_of_stock_non_buyable,exact_reference,EAN/SKU Shopify 3701459037605 = référence fournisseur 3701459037605.,PENDULE HEXAGONAL CRISTAL DE ROCHE A+ (LOT 3 PIÈCES),3701459037605,https://camille-ambiance-nature.fr/produit/pendule-hexagonal-cristal-de-roche-a-lot-3-pieces,orderable,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07T15:47:45+02:00,P0,"Rituels & Bien-être (rang 11, première page observée)",2026-09-07T15:48:17+02:00,"Urgent: candidat à la vente fournisseur: valider délai, prix, unité de vente, contenu et photos, puis appliquer le marqueur interne Produit à commander avant réouverture. Aucune action exécutée."
