shopify_product_id,title,handle,online_store_url,inventory_quantity,inventory_policy,stone_name,stone_handle,stone_benefits,qualite,provenance,current_stone_description,current_stone_description_length,story_text_length,rewrite_class,proposed_stone_description,patrice_copy_decision
10696094056795,Pierre roulée en rhodonite - Galet de 45 mm,pierre-roulee-en-rhodonite-galet-de-45-mm,https://milaura.fr/products/pierre-roulee-en-rhodonite-galet-de-45-mm,2,DENY,Rhodonite,rhodonite,Amour et équilibre,Qualité A - Bonne,Madagascar,"La rhodonite de Madagascar associe ici une base rose à des inclusions noires plus ou moins étendues. La proportion de noir, les veinures et la forme ovale diffèrent entre les pierres polies.",190,631,stone_copy_too_short,"La rhodonite de Madagascar mêle une base rose à des inclusions noires plus ou moins marquées. Les veinures, la proportion de noir et la forme du galet varient naturellement d'une pierre à l'autre. En lithothérapie, la rhodonite est associée à l'amour et à l'équilibre émotionnel. Elle accompagne une intention de bienveillance envers soi et dans les relations.",
10696093892955,Pierre roulée en howlite blanche - Galet de 45 mm,pierre-roulee-en-howlite-blanche-galet-de-45-mm,https://milaura.fr/products/pierre-roulee-en-howlite-blanche-galet-de-45-mm,2,DENY,Howlite blanche,howlite,Calme et patience,Qualité A - Bonne,,La howlite blanche montre des veines grises irrégulières sur une base claire. Leur densité et leur trajet changent d'un galet à l'autre. Le poli souligne le dessin sans rendre les exemplaires identiques.,203,605,stone_copy_too_short,"La howlite blanche montre des veines grises irrégulières sur une base claire. Leur densité et leur trajet changent d'un galet à l'autre. Le poli souligne le dessin sans rendre les exemplaires identiques. En lithothérapie, la howlite blanche est associée au calme et à la patience.",
10696093827419,Collier argenté en sodalite à pampilles,collier-argente-en-sodalite-a-pampilles,https://milaura.fr/products/collier-argente-en-sodalite-a-pampilles,1,DENY,Sodalite,sodalite,Calme et clarté,Qualité AA - Très élevée,,La sodalite présente un bleu soutenu avec des nuances et inclusions variables. La petite taille facettée des perles donne des reflets ponctuels ; le dessin exact de la pierre varie selon les exemplaires.,203,559,stone_copy_too_short,"La sodalite présente un bleu soutenu avec des nuances et inclusions variables. La petite taille facettée des perles donne des reflets ponctuels ; le dessin exact de la pierre varie selon les exemplaires. En lithothérapie, la sodalite est associée au calme et à la clarté.",
10696093761883,Bracelet doré en cornaline facettée,bracelet-dore-en-cornaline-facettee,https://milaura.fr/products/bracelet-dore-en-cornaline-facettee,3,DENY,Cornaline,cornaline,Énergie et confiance,Qualité AA - Très élevée,,"La cornaline varie de l'orange au rouge, avec des zones plus ou moins translucides. La taille facettée multiplie les petits reflets et rend visibles les différences de couleur entre les perles.",193,590,stone_copy_too_short,"La cornaline varie de l'orange au rouge, avec des zones plus ou moins translucides. La taille facettée multiplie les petits reflets et rend visibles les différences de couleur entre les perles. En lithothérapie, la cornaline est associée à l'énergie et à la confiance.",
10696093172059,Bracelet en zoïsite - Perles de 10 mm,bracelet-en-zoisite-perles-de-10-mm,https://milaura.fr/products/bracelet-en-zoisite-perles-de-10-mm,1,DENY,Zoïsite,zoisite,Énergie et renouveau,Qualité AA - Très élevée,,La zoïsite montre ici une base verte avec des plages noires et de petites nuances violacées. La proportion de ces couleurs varie selon les perles. Le poli rend lisibles les contrastes de la matière.,198,611,stone_copy_too_short,"La zoïsite présente une base verte ponctuée de zones noires et de nuances violacées. La répartition de ces couleurs varie selon les perles, tandis que leur poli souligne les contrastes naturels de la matière. En lithothérapie, la zoïsite est associée à l'énergie et au renouveau. Elle accompagne les périodes de changement et l'envie de retrouver un nouvel élan.",
10696093008219,Bracelet en aventurine bleue - Perles de 6 mm,bracelet-en-aventurine-bleue-perles-de-6-mm,https://milaura.fr/products/bracelet-en-aventurine-bleue-perles-de-6-mm,1,DENY,Aventurine bleue,aventurine-bleue,Calme et confiance,Qualité A - Bonne,,"L'aventurine bleue présente des tons bleu clair à bleu plus soutenu. Les inclusions, les petites zones opaques et les différences de couleur restent visibles sous le poli des perles.",182,589,stone_copy_too_short,"L'aventurine bleue présente des tons bleu clair à bleu plus soutenu. Les inclusions, les petites zones opaques et les différences de couleur restent visibles sous le poli des perles. En lithothérapie, l'aventurine bleue est associée au calme et à la confiance.",
10696092909915,Bracelet doré en sodalite - Perles de 6 mm,bracelet-dore-en-sodalite-perles-de-6-mm,https://milaura.fr/products/bracelet-dore-en-sodalite-perles-de-6-mm,1,DENY,Sodalite,sodalite,Calme et clarté,Qualité A - Bonne,,"La sodalite associe des zones bleues à des veinures et inclusions blanches ou grises. Sur ces rondelles polies, leur répartition varie fortement d'une perle à l'autre, donnant au rang un dessin irrégulier.",205,584,stone_copy_too_short,"La sodalite associe des zones bleues à des veinures et inclusions blanches ou grises. Sur ces rondelles polies, leur répartition varie fortement d'une perle à l'autre, donnant au rang un dessin irrégulier. En lithothérapie, la sodalite est associée au calme et à la clarté.",
10696089174363,Bracelet doré en nacre et pierre de lune,bracelet-dore-en-nacre-et-pierre-de-lune,https://milaura.fr/products/bracelet-dore-en-nacre-et-pierre-de-lune,1,DENY,Nacre et pierre de lune,nacre,Douceur et intuition,Qualité AA - Très élevée,,La nacre est une matière organique aux reflets irisés. Elle est associée ici à une pierre de lune de teinte claire et chaude. Les nuances et l'intensité des reflets changent selon les perles et la lumière.,205,615,stone_copy_too_short,"La nacre est une matière organique aux reflets irisés. Elle est associée ici à une pierre de lune de teinte claire et chaude. Les nuances et l'intensité des reflets changent selon les perles et la lumière. En lithothérapie, cette association est liée à la douceur et à l'intuition.",
10696087798107,"Bracelet doré en lapis-lazuli, spinelle et cristal de roche",bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche,https://milaura.fr/products/bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche,1,DENY,"Lapis-lazuli, spinelle noir et cristal de roche",lapis-lazuli,Confiance et ancrage,Qualité A - Bonne,,"Le lapis-lazuli présente des nuances de bleu et des inclusions variables. Le spinelle est noir, tandis que le cristal de roche apporte des perles claires à légèrement laiteuses. Le dessin du lapis varie naturellement.",217,607,stone_copy_too_short,"Le lapis-lazuli présente des nuances de bleu et des inclusions variables. Le spinelle est noir, tandis que le cristal de roche apporte des perles claires à légèrement laiteuses. Le dessin du lapis varie naturellement. En lithothérapie, cette association est liée à la confiance et à l'ancrage.",
10696086454619,"Bracelet doré en améthyste, cornaline et cristal de roche",bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche,https://milaura.fr/products/bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche,1,DENY,"Améthyste, cornaline et cristal de roche",amethyste,Énergie et équilibre,Qualité A - Bonne,,"L'améthyste présente des tons violets, la cornaline des nuances orange à rouge et le cristal de roche des zones claires ou légèrement laiteuses. Les facettes font varier les reflets de cette association.",203,612,stone_copy_too_short,"Cette association réunit le violet de l'améthyste, les nuances orange à rouges de la cornaline et la transparence parfois laiteuse du cristal de roche. Les facettes et les inclusions font varier leurs reflets d'une pierre à l'autre. En lithothérapie, l'améthyste est liée au calme, la cornaline à l'énergie et le cristal de roche à la clarté. Leur réunion accompagne une recherche d'équilibre entre élan et recul.",
10696056242523,"Bracelet doré en tourmaline, quartz fumé et aigue-marine",bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine,https://milaura.fr/products/bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine,1,DENY,"Tourmaline, quartz fumé et aigue-marine",tourmaline,Protection et calme,Qualité AA - Très élevée,,"La tourmaline apporte le noir, le quartz fumé les tons bruns transparents et l'aigue-marine un bleu très pâle. Les facettes et les inclusions rendent leurs reflets différents d'une perle à l'autre.",197,614,stone_copy_too_short,"La tourmaline apporte le noir, le quartz fumé les tons bruns transparents et l'aigue-marine un bleu très pâle. Les facettes et les inclusions rendent leurs reflets différents d'une perle à l'autre. En lithothérapie, cette association est liée à la protection et au calme.",
10696056078683,Bracelet doré à fleurs de nacre,bracelet-dore-a-fleurs-de-nacre,https://milaura.fr/products/bracelet-dore-a-fleurs-de-nacre,2,DENY,Nacre,nacre,Douceur et harmonie,Qualité AA - Très élevée,,La nacre est une matière organique issue du coquillage. Ses reflets blancs et irisés changent selon l'éclairage ; leur intensité et leur dessin peuvent varier d'une fleur à l'autre.,181,578,stone_copy_too_short,"La nacre est une matière organique issue du coquillage. Ses reflets blancs et irisés changent selon l'éclairage ; leur intensité et leur dessin peuvent varier d'une fleur à l'autre. En lithothérapie, la nacre est associée à la douceur et à l'harmonie.",
10696055816539,Bracelet en aventurine verte - Perles de 8 mm,bracelet-en-aventurine-verte-perles-de-8-mm,https://milaura.fr/products/bracelet-en-aventurine-verte-perles-de-8-mm,1,DENY,Aventurine verte,aventurine-verte,Calme et équilibre,Qualité A - Bonne,,"L'aventurine verte présente ici un vert pâle, parfois légèrement laiteux, avec de petites inclusions visibles dans certaines perles. Le poli souligne ces différences de transparence.",182,581,stone_copy_too_short,"L'aventurine verte présente ici un vert pâle, parfois légèrement laiteux, avec de petites inclusions visibles dans certaines perles. Le poli souligne ces différences de transparence. En lithothérapie, l'aventurine verte est associée au calme et à l'équilibre.",
10696040087899,Collier doré en œil de tigre,collier-dore-en-oeil-de-tigre,https://milaura.fr/products/collier-dore-en-oeil-de-tigre,2,DENY,Œil de tigre,oeil-de-tigre,Protection et confiance,Qualité A - Bonne,,L'œil de tigre associe des tons bruns à des bandes miel et dorées. Leur éclat change selon l'angle de la lumière. La taille en pointe rend visibles les alternances de couleur sans masquer la pierre.,198,538,stone_copy_too_short,"L'œil de tigre associe des tons bruns à des bandes miel et dorées. Leur éclat change selon l'angle de la lumière. La taille en pointe rend visibles les alternances de couleur sans masquer la pierre. En lithothérapie, l'œil de tigre est associé à la protection et à la confiance.",
10696039858523,Collier doré en labradorite,collier-dore-en-labradorite,https://milaura.fr/products/collier-dore-en-labradorite,2,DENY,Labradorite,labradorite,Protection et équilibre,Qualité A - Bonne,,"La labradorite présente ici une base grise à verdâtre, avec des inclusions et des reflets qui dépendent de l'orientation de la pierre. Leur teinte et leur intensité ne sont pas identiques sur chaque pendentif.",209,569,stone_copy_too_short,"La labradorite présente ici une base grise à verdâtre, avec des inclusions et des reflets qui dépendent de l'orientation de la pierre. Leur teinte et leur intensité ne sont pas identiques sur chaque pendentif. En lithothérapie, la labradorite est associée à la protection et à l'équilibre.",
10696039694683,Collier doré en cristal de roche,collier-dore-en-cristal-de-roche,https://milaura.fr/products/collier-dore-en-cristal-de-roche,2,DENY,Cristal de roche,cristal-de-roche,Clarté et harmonie,Qualité A - Bonne,,"Le cristal de roche est un quartz incolore, transparent à légèrement voilé. Des inclusions ou de petites zones plus laiteuses peuvent être visibles dans la pierre. Les facettes font varier les reflets selon la lumière.",218,565,stone_copy_too_short,"Le cristal de roche est un quartz incolore, transparent à légèrement voilé. Des inclusions ou de petites zones plus laiteuses peuvent être visibles dans la pierre. Les facettes font varier les reflets selon la lumière. En lithothérapie, le cristal de roche est associé à la clarté et à l'harmonie.",
10521073385819,Collier doré en quartz rose,collier-quartz-rose-boho-dore,https://milaura.fr/products/collier-quartz-rose-boho-dore,2,DENY,Quartz rose,quartz-rose,Amour et douceur,Qualité A - Bonne,,"Le quartz rose présente une teinte rose pâle, parfois laiteuse ou légèrement translucide. Les nuances et inclusions naturelles rendent chaque pointe un peu différente.",167,553,stone_copy_too_short,"Le quartz rose se distingue par une teinte rose pâle, parfois laiteuse ou légèrement translucide. Ses voiles, inclusions et différences de nuance rendent chaque pierre naturellement unique. En lithothérapie, le quartz rose est associé à l'amour, à la douceur et à l'attention portée à soi. Sur ce collier, sa couleur claire forme un contraste doux avec le métal doré.",
10557523099995,Collier doré en aventurine verte,collier-aventurine-verte-boho-dore,https://milaura.fr/products/collier-aventurine-verte-boho-dore,2,DENY,Aventurine verte,aventurine-verte,Apaisement et équilibre,Qualité A - Bonne,,"L'aventurine verte présente un vert doux à plus soutenu, avec des nuances propres à chaque pierre. Ses facettes polies captent la lumière sans masquer sa couleur.",162,492,stone_copy_too_short,"L'aventurine verte présente un vert doux à plus soutenu, avec des nuances propres à chaque pierre. Ses facettes polies captent la lumière sans masquer sa couleur. En lithothérapie, l'aventurine verte est associée à l'apaisement et à l'équilibre.",
10557516644699,Collier doré en obsidienne noire,collier-obsidienne-noire-boho-dore,https://milaura.fr/products/collier-obsidienne-noire-boho-dore,4,DENY,Obsidienne noire,obsidienne-noire,Protection et ancrage,Qualité A - Bonne,,L'obsidienne noire présente une couleur sombre et un éclat vitreux. La taille en pointe met en évidence les facettes et leurs reflets.,134,439,stone_copy_too_short,"L'obsidienne noire présente une couleur sombre et un éclat vitreux. La taille en pointe met en évidence les facettes et leurs reflets. En lithothérapie, l'obsidienne noire est associée à la protection et à l'ancrage. D'un éclat à l'autre, l'intensité de la couleur et la répartition des inclusions peuvent donc varier.",
10637436584283,Boucles d'oreilles dorées en aigue-marine naturelle - 36 mm,boucles-d-oreilles-dorees-en-aigue-marine-naturelle-36-mm,https://milaura.fr/products/boucles-d-oreilles-dorees-en-aigue-marine-naturelle-36-mm,0,CONTINUE,Aigue-marine,aigue-marine,Calme et clarté,Qualité A - Bonne,,L'aigue-marine est une variété de béryl dont la teinte va du bleu très clair au bleu légèrement vert. Les cylindres naturels de cette paire peuvent présenter de petites variations de nuance et de texture.,204,1082,stone_copy_too_short,"L'aigue-marine est une variété de béryl dont la teinte va du bleu très clair au bleu légèrement vert. Les cylindres naturels de cette paire peuvent présenter de petites variations de nuance et de texture. En lithothérapie, l'aigue-marine est associée au calme et à la clarté.",
10669625966939,Bracelet Horus doré en sodalite 6 mm,bracelet-horus-dore-en-sodalite-6-mm,https://milaura.fr/products/bracelet-horus-dore-en-sodalite-6-mm,3,DENY,Sodalite,sodalite,Expression et confiance,Qualité A - Bonne,,"Les fragments de sodalite montrent des bleus intenses, des zones blanches et des contours irréguliers.",102,650,stone_copy_too_short,"La sodalite se reconnaît à son bleu profond traversé de zones blanches ou plus claires. Chaque fragment présente des contours, des nuances et un veinage différents, ce qui rend le dessin de la pierre naturellement irrégulier. En lithothérapie, la sodalite est associée à l'expression, à la clarté et à la confiance. Sur Horus, ses éclats bleus créent un contraste net avec le métal doré.",
10669953122651,Collier boho doré en améthyste - 38 à 43 cm,collier-boho-dore-en-amethyste-38-a-43-cm,https://milaura.fr/products/collier-boho-dore-en-amethyste-38-a-43-cm,3,DENY,Améthyste,amethyste,Calme et intuition,Qualité A - Bonne,,"La pointe facettée présente un violet naturel translucide à soutenu, avec des variations propres au minéral.",108,495,stone_copy_too_short,"La pointe facettée présente un violet naturel translucide à soutenu, avec des variations propres au minéral. En lithothérapie, l'améthyste est associée au calme et à l'intuition. D'une pointe à l'autre, l'intensité de la couleur et la répartition des inclusions peuvent donc varier.",
10669947781467,"Bracelet Iris doré en aigue-marine, cornaline et grenat 4 mm",bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm,https://milaura.fr/products/bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm,2,DENY,"Aigue-marine, cornaline et grenat",aigue-marine,Confiance et énergie,Qualité AA - Très élevée,,"De petites perles bleues, orange et rouge rythment la chaîne dorée avec des nuances naturelles propres à chaque pierre.",119,553,stone_copy_too_short,"L'aigue-marine apporte des nuances bleu pâle, la cornaline des tons orange à rouges et le grenat un rouge plus profond. Les différences de transparence, les inclusions et l'intensité des couleurs varient naturellement d'une pierre à l'autre. En lithothérapie, cette association est liée à la confiance et à l'énergie. Le petit format des pierres permet de distinguer un dégradé allant du bleu clair au rouge sombre.",
10694386745691,Sphère en agate indienne - 30 mm,sphere-en-agate-indienne-30-mm,https://milaura.fr/products/sphere-en-agate-indienne-30-mm,3,DENY,Agate indienne,agate,Ancrage et équilibre,Qualité A - Bonne,,"L'agate indienne présente des teintes très variables : vert sombre, brun, rouge ou orangé, avec des veines claires. Une sphère peut être plus verte ou plus rouge qu'une autre ; la couleur n'est pas uniforme.",207,591,stone_copy_too_short,"L'agate indienne présente des teintes très variables : vert sombre, brun, rouge ou orangé, avec des veines claires. Une sphère peut être plus verte ou plus rouge qu'une autre ; la couleur n'est pas uniforme. En lithothérapie, l'agate indienne est associée à l'ancrage et à l'équilibre.",
10694393463131,Sphère en jaspe héliotrope - 30 mm,sphere-en-jaspe-heliotrope-30-mm,https://milaura.fr/products/sphere-en-jaspe-heliotrope-30-mm,3,DENY,Jaspe héliotrope,jaspe-heliotrope,Ancrage et énergie,Qualité A - Bonne,,"Les exemplaires présentent des zones gris foncé ou vert sombre, des plages rouges et parfois des parties plus claires. La répartition des dessins change d'une sphère à l'autre.",176,581,stone_copy_too_short,"Les exemplaires présentent des zones gris foncé ou vert sombre, des plages rouges et parfois des parties plus claires. La répartition des dessins change d'une sphère à l'autre. En lithothérapie, le jaspe héliotrope est associé à l'ancrage et à l'énergie.",
10694387368283,Sphère en jade de Chine - 30 mm,sphere-en-jade-de-chine-30-mm,https://milaura.fr/products/sphere-en-jade-de-chine-30-mm,3,DENY,Jade de Chine,jade,Équilibre et confiance,Qualité A - Bonne,,"Le jade de Chine présente ici des tons vert pâle mêlés de blanc, parfois de gris et de petites marques plus foncées. Les zones colorées sont irrégulières et ne forment pas le même dessin sur chaque sphère.",205,588,stone_copy_too_short,"Le jade de Chine présente ici des tons vert pâle mêlés de blanc, parfois de gris et de petites marques plus foncées. Les zones colorées sont irrégulières et ne forment pas le même dessin sur chaque sphère. En lithothérapie, le jade de Chine est associé à l'équilibre et à la confiance.",
