"shopify_product_id","title","handle","online_store_url","stone_name","stone_handle","content_updated_at","stone_description_length","story_text_length","content_review_status","current_live_second_tab_source"
"10696094056795","Pierre roulée en rhodonite - Galet de 45 mm","pierre-roulee-en-rhodonite-galet-de-45-mm","https://milaura.fr/products/pierre-roulee-en-rhodonite-galet-de-45-mm","Rhodonite","rhodonite","2026-09-05",190,631,"stone_description_too_short","story_text_wrongly_rendered"
"10696093892955","Pierre roulée en howlite blanche - Galet de 45 mm","pierre-roulee-en-howlite-blanche-galet-de-45-mm","https://milaura.fr/products/pierre-roulee-en-howlite-blanche-galet-de-45-mm","Howlite blanche","howlite","2026-09-05",203,605,"stone_description_too_short","story_text_wrongly_rendered"
"10696093827419","Collier argenté en sodalite à pampilles","collier-argente-en-sodalite-a-pampilles","https://milaura.fr/products/collier-argente-en-sodalite-a-pampilles","Sodalite","sodalite","2026-09-05",203,559,"stone_description_too_short","story_text_wrongly_rendered"
"10696093761883","Bracelet doré en cornaline facettée","bracelet-dore-en-cornaline-facettee","https://milaura.fr/products/bracelet-dore-en-cornaline-facettee","Cornaline","cornaline","2026-09-05",193,590,"stone_description_too_short","story_text_wrongly_rendered"
"10696093172059","Bracelet en zoïsite - Perles de 10 mm","bracelet-en-zoisite-perles-de-10-mm","https://milaura.fr/products/bracelet-en-zoisite-perles-de-10-mm","Zoïsite","zoisite","2026-09-05",198,611,"stone_description_too_short","story_text_wrongly_rendered"
"10696093008219","Bracelet en aventurine bleue - Perles de 6 mm","bracelet-en-aventurine-bleue-perles-de-6-mm","https://milaura.fr/products/bracelet-en-aventurine-bleue-perles-de-6-mm","Aventurine bleue","aventurine-bleue","2026-09-05",182,589,"stone_description_too_short","story_text_wrongly_rendered"
"10696092909915","Bracelet doré en sodalite - Perles de 6 mm","bracelet-dore-en-sodalite-perles-de-6-mm","https://milaura.fr/products/bracelet-dore-en-sodalite-perles-de-6-mm","Sodalite","sodalite","2026-09-05",205,584,"stone_description_too_short","story_text_wrongly_rendered"
"10696089174363","Bracelet doré en nacre et pierre de lune","bracelet-dore-en-nacre-et-pierre-de-lune","https://milaura.fr/products/bracelet-dore-en-nacre-et-pierre-de-lune","Nacre et pierre de lune","nacre","2026-09-05",205,615,"stone_description_too_short","story_text_wrongly_rendered"
"10696087798107","Bracelet doré en lapis-lazuli, spinelle et cristal de roche","bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche","https://milaura.fr/products/bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche","Lapis-lazuli, spinelle noir et cristal de roche","lapis-lazuli","2026-09-05",217,607,"stone_description_too_short","story_text_wrongly_rendered"
"10696086454619","Bracelet doré en améthyste, cornaline et cristal de roche","bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche","https://milaura.fr/products/bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche","Améthyste, cornaline et cristal de roche","amethyste","2026-09-05",203,612,"stone_description_too_short","story_text_wrongly_rendered"
"10696056242523","Bracelet doré en tourmaline, quartz fumé et aigue-marine","bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine","https://milaura.fr/products/bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine","Tourmaline, quartz fumé et aigue-marine","tourmaline","2026-09-05",197,614,"stone_description_too_short","story_text_wrongly_rendered"
"10696056078683","Bracelet doré à fleurs de nacre","bracelet-dore-a-fleurs-de-nacre","https://milaura.fr/products/bracelet-dore-a-fleurs-de-nacre","Nacre","nacre","2026-09-05",181,578,"stone_description_too_short","story_text_wrongly_rendered"
"10696055816539","Bracelet en aventurine verte - Perles de 8 mm","bracelet-en-aventurine-verte-perles-de-8-mm","https://milaura.fr/products/bracelet-en-aventurine-verte-perles-de-8-mm","Aventurine verte","aventurine-verte","2026-09-05",182,581,"stone_description_too_short","story_text_wrongly_rendered"
"10696040087899","Collier doré en œil de tigre","collier-dore-en-oeil-de-tigre","https://milaura.fr/products/collier-dore-en-oeil-de-tigre","Œil de tigre","oeil-de-tigre","2026-09-05",198,538,"stone_description_too_short","story_text_wrongly_rendered"
"10696039858523","Collier doré en labradorite","collier-dore-en-labradorite","https://milaura.fr/products/collier-dore-en-labradorite","Labradorite","labradorite","2026-09-05",209,569,"stone_description_too_short","story_text_wrongly_rendered"
"10696039694683","Collier doré en cristal de roche","collier-dore-en-cristal-de-roche","https://milaura.fr/products/collier-dore-en-cristal-de-roche","Cristal de roche","cristal-de-roche","2026-09-05",218,565,"stone_description_too_short","story_text_wrongly_rendered"
"10521073385819","Collier doré en quartz rose","collier-quartz-rose-boho-dore","https://milaura.fr/products/collier-quartz-rose-boho-dore","Quartz rose","quartz-rose","2026-09-05",167,553,"stone_description_too_short","story_text_wrongly_rendered"
"10557523099995","Collier doré en aventurine verte","collier-aventurine-verte-boho-dore","https://milaura.fr/products/collier-aventurine-verte-boho-dore","Aventurine verte","aventurine-verte","2026-09-05",162,492,"stone_description_too_short","story_text_wrongly_rendered"
"10557516644699","Collier doré en obsidienne noire","collier-obsidienne-noire-boho-dore","https://milaura.fr/products/collier-obsidienne-noire-boho-dore","Obsidienne noire","obsidienne-noire","2026-09-05",134,439,"stone_description_too_short","story_text_wrongly_rendered"
"10637436584283","Boucles d'oreilles dorées en aigue-marine naturelle - 36 mm","boucles-d-oreilles-dorees-en-aigue-marine-naturelle-36-mm","https://milaura.fr/products/boucles-d-oreilles-dorees-en-aigue-marine-naturelle-36-mm","Aigue-marine","aigue-marine","2026-08-11",204,1082,"stone_description_too_short","story_text_wrongly_rendered"
