date_debut,date_fin,url,clics,impressions,ctr_pct,position
2026-08-09,2026-09-05,https://milaura.fr/,38,781,4.9,11.0
2026-08-09,2026-09-05,https://www.milaura.fr/,21,788,2.7,4.7
2026-08-09,2026-09-05,https://milaura.fr/products/collier-obsidienne-noire-boho-dore,5,724,0.7,10.8
2026-08-09,2026-09-05,https://milaura.fr/products/pendule-cristal-de-roche,6,371,1.6,9.2
2026-08-09,2026-09-05,https://milaura.fr/products/bague-argent-925-modele-01-aigue-marine-bresil-aa-1-piece-lo,2,366,0.5,13.8
2026-08-09,2026-09-05,https://milaura.fr/products/bracelet-labradorite,3,273,1.1,10.8
2026-08-09,2026-09-05,https://milaura.fr/products/bracelet-jaspe-rouge,1,219,0.5,12.5
2026-08-09,2026-09-05,https://milaura.fr/products/bracelet-liberite-bleue,0,216,0,5.9
2026-08-09,2026-09-05,https://milaura.fr/products/bracelet-selenite,3,169,1.8,7.8
2026-08-09,2026-09-05,https://milaura.fr/products/pendule-labradorite,5,135,3.7,7.1
2026-08-09,2026-09-05,https://milaura.fr/products/pendentif-tourmaline-noire,5,99,5.1,14.4
2026-08-09,2026-09-05,https://milaura.fr/blogs/journal/lithotherapie-le-guide-complet-pour-debutants,1,61,1.6,12.0
2026-08-09,2026-09-05,https://milaura.fr/collections/colliers-pierres,0,43,0,26.1
2026-08-09,2026-09-05,https://milaura.fr/collections/bijoux-pierres-naturelles,1,35,2.9,22.7
2026-08-09,2026-09-05,https://milaura.fr/collections/bagues-pierres,0,26,0,55.6
2026-08-09,2026-09-05,https://milaura.fr/collections/par-pierre-aigue-marine,0,17,0,31.4
2026-08-09,2026-09-05,https://milaura.fr/pages/pierres-de-naissance,0,12,0,65.0
2026-08-09,2026-09-05,https://milaura.fr/collections/bracelets-pierres,0,8,0,14.0
