date_debut,date_fin,requete,clics,impressions,ctr_pct,position
2026-08-09,2026-09-05,milaura,9,25,36,1.5
2026-08-09,2026-09-05,collier obsidienne noire,4,134,3,10.9
2026-08-09,2026-09-05,pendule améthyste,3,64,4.7,8.4
2026-08-09,2026-09-05,pendentif tourmaline noire,3,43,7,11.7
2026-08-09,2026-09-05,pendule cristal de roche,2,197,1,9.2
2026-08-09,2026-09-05,pendule labradorite,2,51,3.9,7.1
2026-08-09,2026-09-05,pendentif shungite,2,17,11.8,10.4
2026-08-09,2026-09-05,labradorite bracelet,1,215,0.5,11.1
2026-08-09,2026-09-05,bague aigue marine argent,1,102,1,15.8
2026-08-09,2026-09-05,pendentif aventurine verte,1,25,4,10.4
