severity,surface,expected_collection,reason,product,handle,status,product_url,collection_url
P1,collection-commerciale,bracelets-aigue-marine,bracelet + aigue-marine,Bracelet doré en sodalite et pierres bleues,bracelet-dore-en-sodalite-et-pierres-bleues,ACTIVE,https://milaura.fr/products/bracelet-dore-en-sodalite-et-pierres-bleues,https://milaura.fr/collections/bracelets-aigue-marine
P1,collection-commerciale,bracelets-cornaline,bracelet + cornaline,"Bracelet Iris doré en aigue-marine, cornaline et grenat 4 mm",bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm,ACTIVE,https://milaura.fr/products/bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm,https://milaura.fr/collections/bracelets-cornaline
P1,collection-commerciale,bracelets-lapis-lazuli,bracelet + lapis-lazuli,Bracelet doré en sodalite et pierres bleues,bracelet-dore-en-sodalite-et-pierres-bleues,ACTIVE,https://milaura.fr/products/bracelet-dore-en-sodalite-et-pierres-bleues,https://milaura.fr/collections/bracelets-lapis-lazuli
P1,collection-commerciale,bracelets-onyx,bracelet + onyx,Bracelet Aska noir en labradorite et onyx 6 mm,bracelet-aska-noir-en-labradorite-et-onyx-6-mm,ACTIVE,https://milaura.fr/products/bracelet-aska-noir-en-labradorite-et-onyx-6-mm,https://milaura.fr/collections/bracelets-onyx
P1,collection-commerciale,bracelets-onyx,bracelet + onyx,Bracelet Aska noir en lapis-lazuli et onyx,bracelet-aska-noir-en-lapis-lazuli-et-onyx,ACTIVE,https://milaura.fr/products/bracelet-aska-noir-en-lapis-lazuli-et-onyx,https://milaura.fr/collections/bracelets-onyx
P1,collection-commerciale,bracelets-onyx,bracelet + onyx,Bracelet Aska noir en oeil de taureau et onyx 6 mm,bracelet-aska-noir-en-oeil-de-taureau-et-onyx-6-mm,ACTIVE,https://milaura.fr/products/bracelet-aska-noir-en-oeil-de-taureau-et-onyx-6-mm,https://milaura.fr/collections/bracelets-onyx
P1,collection-commerciale,bracelets-onyx,bracelet + onyx,Bracelet Aska noir en oeil de tigre et onyx 6 mm,bracelet-aska-noir-en-oeil-de-tigre-et-onyx-6-mm,ACTIVE,https://milaura.fr/products/bracelet-aska-noir-en-oeil-de-tigre-et-onyx-6-mm,https://milaura.fr/collections/bracelets-onyx
P1,collection-commerciale,bracelets-onyx,bracelet + onyx,Bracelet Célyos en œil de tigre et onyx,bracelet-celyos-en-oeil-de-tigre-et-onyx,ACTIVE,https://milaura.fr/products/bracelet-celyos-en-oeil-de-tigre-et-onyx,https://milaura.fr/collections/bracelets-onyx
P1,collection-commerciale,bracelets-onyx,bracelet + onyx,Bracelet Légende en œil de tigre et onyx,bracelet-legende-en-oeil-de-tigre-et-onyx,ACTIVE,https://milaura.fr/products/bracelet-legende-en-oeil-de-tigre-et-onyx,https://milaura.fr/collections/bracelets-onyx
ARBITRAGE,collection-generale,bijoux-pierres-naturelles,bijou actif mais chaine possiblement exclue volontairement,Chaîne dorée maille forçat réglable - 50 cm,chaine-doree-maille-forcat-reglable-50-cm,ACTIVE,https://milaura.fr/products/chaine-doree-maille-forcat-reglable-50-cm,https://milaura.fr/collections/bijoux-pierres-naturelles
P1,landing-pierre,par-pierre-aigue-marine,stone_handles contient aigue-marine,"Bracelet doré en tourmaline, quartz fumé et aigue-marine",bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine,ACTIVE,https://milaura.fr/products/bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine,https://milaura.fr/collections/par-pierre-aigue-marine
P1,landing-pierre,par-pierre-aventurine,stone_handles contient aventurine-verte,Bracelet doré en aventurine verte 6 mm,bracelet-dore-en-aventurine-verte-6-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-aventurine-verte-6-mm,https://milaura.fr/collections/par-pierre-aventurine
P1,landing-pierre,par-pierre-aventurine,stone_handles contient aventurine-verte,Bracelet doré en aventurine verte 8 mm,bracelet-dore-en-aventurine-verte-8-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-aventurine-verte-8-mm,https://milaura.fr/collections/par-pierre-aventurine
P1,landing-pierre,par-pierre-aventurine,stone_handles contient aventurine-verte,Bracelet en aventurine verte - Perles de 8 mm,bracelet-en-aventurine-verte-perles-de-8-mm,ACTIVE,https://milaura.fr/products/bracelet-en-aventurine-verte-perles-de-8-mm,https://milaura.fr/collections/par-pierre-aventurine
P1,landing-pierre,par-pierre-chrysocolle,stone_handles contient chrysocolle,Pendentif brut en chrysocolle du Pérou - 30 à 40 mm,pendentif-chrysocolle,ACTIVE,https://milaura.fr/products/pendentif-chrysocolle,https://milaura.fr/collections/par-pierre-chrysocolle
P1,landing-pierre,par-pierre-cornaline,stone_handles contient cornaline,"Bracelet doré en améthyste, cornaline et cristal de roche",bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche,ACTIVE,https://milaura.fr/products/bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche,https://milaura.fr/collections/par-pierre-cornaline
P1,landing-pierre,par-pierre-cornaline,stone_handles contient cornaline,Bracelet doré en cornaline 6 mm,bracelet-dore-en-cornaline-6-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-cornaline-6-mm,https://milaura.fr/collections/par-pierre-cornaline
P1,landing-pierre,par-pierre-cornaline,stone_handles contient cornaline,Bracelet doré en cornaline facettée,bracelet-dore-en-cornaline-facettee,ACTIVE,https://milaura.fr/products/bracelet-dore-en-cornaline-facettee,https://milaura.fr/collections/par-pierre-cornaline
P1,landing-pierre,par-pierre-cristal-de-roche,stone_handles contient cristal-de-roche,"Bracelet doré en améthyste, cornaline et cristal de roche",bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche,ACTIVE,https://milaura.fr/products/bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche,https://milaura.fr/collections/par-pierre-cristal-de-roche
P1,landing-pierre,par-pierre-cristal-de-roche,stone_handles contient cristal-de-roche,"Bracelet doré en lapis-lazuli, spinelle et cristal de roche",bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche,ACTIVE,https://milaura.fr/products/bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche,https://milaura.fr/collections/par-pierre-cristal-de-roche
P1,landing-pierre,par-pierre-cristal-de-roche,stone_handles contient cristal-de-roche,Bracelet doré en sodalite et pierres bleues,bracelet-dore-en-sodalite-et-pierres-bleues,ACTIVE,https://milaura.fr/products/bracelet-dore-en-sodalite-et-pierres-bleues,https://milaura.fr/collections/par-pierre-cristal-de-roche
P1,landing-pierre,par-pierre-cristal-de-roche,stone_handles contient cristal-de-roche,Collier doré en cristal de roche,collier-dore-en-cristal-de-roche,ACTIVE,https://milaura.fr/products/collier-dore-en-cristal-de-roche,https://milaura.fr/collections/par-pierre-cristal-de-roche
P1,landing-pierre,par-pierre-grenat,stone_handles contient grenat,Boucles d'oreilles pendantes en grenat rouge 12 mm,boucles-d-oreilles-pendantes-en-grenat-rouge-12-mm,ACTIVE,https://milaura.fr/products/boucles-d-oreilles-pendantes-en-grenat-rouge-12-mm,https://milaura.fr/collections/par-pierre-grenat
P1,landing-pierre,par-pierre-grenat,stone_handles contient grenat,Boucles d'oreilles puces en grenat rouge 8 mm,boucles-d-oreilles-puces-en-grenat-rouge-8-mm,ACTIVE,https://milaura.fr/products/boucles-d-oreilles-puces-en-grenat-rouge-8-mm,https://milaura.fr/collections/par-pierre-grenat
P1,landing-pierre,par-pierre-grenat,stone_handles contient grenat,Bracelet doré en grenat rhodolite 3 mm,bracelet-dore-en-grenat-rhodolite-3-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-grenat-rhodolite-3-mm,https://milaura.fr/collections/par-pierre-grenat
P1,landing-pierre,par-pierre-grenat,stone_handles contient grenat,Bracelet en grenat rouge 4 mm,bracelet-en-grenat-rouge-4-mm,ACTIVE,https://milaura.fr/products/bracelet-en-grenat-rouge-4-mm,https://milaura.fr/collections/par-pierre-grenat
P1,landing-pierre,par-pierre-grenat,stone_handles contient grenat,Bracelet en grenat rouge 6 mm,bracelet-en-grenat-rouge-6-mm,ACTIVE,https://milaura.fr/products/bracelet-en-grenat-rouge-6-mm,https://milaura.fr/collections/par-pierre-grenat
P1,landing-pierre,par-pierre-grenat,stone_handles contient grenat,Bracelet en grenat rouge 8 mm,bracelet-en-grenat-rouge-8-mm,ACTIVE,https://milaura.fr/products/bracelet-en-grenat-rouge-8-mm,https://milaura.fr/collections/par-pierre-grenat
P1,landing-pierre,par-pierre-grenat,stone_handles contient grenat,Bracelet facetté en grenat rouge 4 mm,bracelet-facette-en-grenat-rouge-4-mm,ACTIVE,https://milaura.fr/products/bracelet-facette-en-grenat-rouge-4-mm,https://milaura.fr/collections/par-pierre-grenat
P1,landing-pierre,par-pierre-grenat,stone_handles contient grenat,Collier en grenat rouge 4 mm - 45 cm,collier-en-grenat-rouge-4-mm-45-cm,ACTIVE,https://milaura.fr/products/collier-en-grenat-rouge-4-mm-45-cm,https://milaura.fr/collections/par-pierre-grenat
P1,landing-pierre,par-pierre-grenat,stone_handles contient grenat,Collier en grenat rouge 6 mm - 45 cm,collier-en-grenat-rouge-6-mm-45-cm,ACTIVE,https://milaura.fr/products/collier-en-grenat-rouge-6-mm-45-cm,https://milaura.fr/collections/par-pierre-grenat
P1,landing-pierre,par-pierre-howlite,stone_handles contient howlite,Bracelet doré en howlite blanche 6 mm,bracelet-dore-en-howlite-blanche-6-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-howlite-blanche-6-mm,https://milaura.fr/collections/par-pierre-howlite
P1,landing-pierre,par-pierre-howlite,stone_handles contient howlite,Bracelet doré en howlite et pierre de lave 6 mm,bracelet-dore-en-howlite-et-pierre-de-lave-6-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-howlite-et-pierre-de-lave-6-mm,https://milaura.fr/collections/par-pierre-howlite
P1,landing-pierre,par-pierre-labradorite,stone_handles contient labradorite,Bracelet argenté en labradorite 6 mm,bracelet-argente-en-labradorite-6-mm,ACTIVE,https://milaura.fr/products/bracelet-argente-en-labradorite-6-mm,https://milaura.fr/collections/par-pierre-labradorite
P1,landing-pierre,par-pierre-labradorite,stone_handles contient labradorite,Bracelet argenté en labradorite 8 mm,bracelet-argente-en-labradorite-8-mm,ACTIVE,https://milaura.fr/products/bracelet-argente-en-labradorite-8-mm,https://milaura.fr/collections/par-pierre-labradorite
P1,landing-pierre,par-pierre-labradorite,stone_handles contient labradorite,Bracelet doré en labradorite 8 mm,bracelet-dore-en-labradorite-8-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-labradorite-8-mm,https://milaura.fr/collections/par-pierre-labradorite
P1,landing-pierre,par-pierre-labradorite,stone_handles contient labradorite,Bracelet baroque en labradorite,bracelet-labradorite,ACTIVE,https://milaura.fr/products/bracelet-labradorite,https://milaura.fr/collections/par-pierre-labradorite
P1,landing-pierre,par-pierre-labradorite,stone_handles contient labradorite,Collier doré en labradorite,collier-dore-en-labradorite,ACTIVE,https://milaura.fr/products/collier-dore-en-labradorite,https://milaura.fr/collections/par-pierre-labradorite
P1,landing-pierre,par-pierre-lapis-lazuli,stone_handles contient lapis-lazuli,Bracelet doré en lapis-lazuli 4 à 12 mm,bracelet-dore-en-lapis-lazuli-4-a-12-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-lapis-lazuli-4-a-12-mm,https://milaura.fr/collections/par-pierre-lapis-lazuli
P1,landing-pierre,par-pierre-lapis-lazuli,stone_handles contient lapis-lazuli,"Bracelet doré en lapis-lazuli, spinelle et cristal de roche",bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche,ACTIVE,https://milaura.fr/products/bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche,https://milaura.fr/collections/par-pierre-lapis-lazuli
P1,landing-pierre,par-pierre-obsidienne,stone_handles contient obsidienne-noire,Bracelet doré en obsidienne noire 6 mm,bracelet-dore-en-obsidienne-noire-6-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-obsidienne-noire-6-mm,https://milaura.fr/collections/par-pierre-obsidienne
P1,landing-pierre,par-pierre-oeil-de-tigre,stone_handles contient oeil-de-tigre,Bracelet doré en oeil de tigre 6 mm,bracelet-dore-en-oeil-de-tigre-6-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-oeil-de-tigre-6-mm,https://milaura.fr/collections/par-pierre-oeil-de-tigre
P1,landing-pierre,par-pierre-oeil-de-tigre,stone_handles contient oeil-de-tigre,Collier doré en œil de tigre,collier-dore-en-oeil-de-tigre,ACTIVE,https://milaura.fr/products/collier-dore-en-oeil-de-tigre,https://milaura.fr/collections/par-pierre-oeil-de-tigre
P1,landing-pierre,par-pierre-onyx,stone_handles contient onyx,Bracelet homme en lapis-lazuli et onyx 8 mm,bracelet-celyos-argente-lapis-lazuli-onyx-a,ACTIVE,https://milaura.fr/products/bracelet-celyos-argente-lapis-lazuli-onyx-a,https://milaura.fr/collections/par-pierre-onyx
P1,landing-pierre,par-pierre-pierre-de-lune,stone_handles contient pierre-de-lune,Bracelet doré en nacre et pierre de lune,bracelet-dore-en-nacre-et-pierre-de-lune,ACTIVE,https://milaura.fr/products/bracelet-dore-en-nacre-et-pierre-de-lune,https://milaura.fr/collections/par-pierre-pierre-de-lune
P1,landing-pierre,par-pierre-quartz-rose,stone_handles contient quartz-rose,Bracelet doré en quartz rose 8 mm,bracelet-dore-en-quartz-rose-8-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-quartz-rose-8-mm,https://milaura.fr/collections/par-pierre-quartz-rose
P1,landing-pierre,par-pierre-rhodonite,stone_handles contient rhodonite,Pendentif ovale doré en rhodonite - 20 mm,pendentif-rhodonite,ACTIVE,https://milaura.fr/products/pendentif-rhodonite,https://milaura.fr/collections/par-pierre-rhodonite
P1,landing-pierre,par-pierre-sodalite,stone_handles contient sodalite,Bracelet doré en sodalite 6 mm,bracelet-dore-en-sodalite-6-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-sodalite-6-mm,https://milaura.fr/collections/par-pierre-sodalite
P1,landing-pierre,par-pierre-sodalite,stone_handles contient sodalite,Bracelet doré en sodalite - Perles de 6 mm,bracelet-dore-en-sodalite-perles-de-6-mm,ACTIVE,https://milaura.fr/products/bracelet-dore-en-sodalite-perles-de-6-mm,https://milaura.fr/collections/par-pierre-sodalite
P1,landing-pierre,par-pierre-sodalite,stone_handles contient sodalite,Collier argenté en sodalite à pampilles,collier-argente-en-sodalite-a-pampilles,ACTIVE,https://milaura.fr/products/collier-argente-en-sodalite-a-pampilles,https://milaura.fr/collections/par-pierre-sodalite
P1,landing-pierre,par-pierre-tourmaline,stone_handles contient tourmaline,"Bracelet doré en tourmaline, quartz fumé et aigue-marine",bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine,ACTIVE,https://milaura.fr/products/bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine,https://milaura.fr/collections/par-pierre-tourmaline
