created_at,status,title,handle,online_store_url,inventory,stone_handles,product_type_handle,actual_collections,expected_type_collection,type_collection_ok,expected_stone_collections,missing_stone_collections,expected_commercial_collections,missing_commercial_collections
2026-09-21T07:08:10Z,ACTIVE,Bracelet doré en grenat rhodolite 3 mm,bracelet-dore-en-grenat-rhodolite-3-mm,https://milaura.fr/products/bracelet-dore-en-grenat-rhodolite-3-mm,0,grenat,bracelet,bijoux-pierres-naturelles|bracelets-pierres|nouveautes|recos-pool|selection-automne,bracelets-pierres,True,par-pierre-grenat,par-pierre-grenat,,
2026-09-22T12:23:16Z,ACTIVE,Bracelet doré en lapis-lazuli 4 à 12 mm,bracelet-dore-en-lapis-lazuli-4-a-12-mm,https://milaura.fr/products/bracelet-dore-en-lapis-lazuli-4-a-12-mm,0,lapis-lazuli,bracelet,bijoux-pierres-naturelles|bracelets-lapis-lazuli|bracelets-pierres|nouveautes|recos-pool,bracelets-pierres,True,par-pierre-lapis-lazuli,par-pierre-lapis-lazuli,bracelets-lapis-lazuli,
2026-09-22T12:31:49Z,ACTIVE,Bracelet doré en howlite et pierre de lave 6 mm,bracelet-dore-en-howlite-et-pierre-de-lave-6-mm,https://milaura.fr/products/bracelet-dore-en-howlite-et-pierre-de-lave-6-mm,0,howlite,bracelet,bijoux-pierres-naturelles|bracelets-pierres|nouveautes|recos-pool,bracelets-pierres,True,par-pierre-howlite,par-pierre-howlite,,
2026-09-22T12:32:55Z,ACTIVE,Bracelet doré en aventurine verte 8 mm,bracelet-dore-en-aventurine-verte-8-mm,https://milaura.fr/products/bracelet-dore-en-aventurine-verte-8-mm,0,aventurine-verte,bracelet,bijoux-pierres-naturelles|bracelets-aventurine-verte|bracelets-pierres|nouveautes|recos-pool,bracelets-pierres,True,par-pierre-aventurine,par-pierre-aventurine,bracelets-aventurine-verte,
2026-09-22T12:34:00Z,ACTIVE,Bracelet doré en labradorite 8 mm,bracelet-dore-en-labradorite-8-mm,https://milaura.fr/products/bracelet-dore-en-labradorite-8-mm,0,labradorite,bracelet,bijoux-pierres-naturelles|bracelets-pierres|nouveautes|recos-pool,bracelets-pierres,True,par-pierre-labradorite,par-pierre-labradorite,,
2026-09-22T12:35:05Z,ACTIVE,Bracelet doré en quartz rose 8 mm,bracelet-dore-en-quartz-rose-8-mm,https://milaura.fr/products/bracelet-dore-en-quartz-rose-8-mm,0,quartz-rose,bracelet,amour-relations|bijoux-pierres-naturelles|bracelets-pierres|bracelets-quartz-rose|nouveautes|recos-pool,bracelets-pierres,True,par-pierre-quartz-rose,par-pierre-quartz-rose,bracelets-quartz-rose,
2026-09-22T12:36:11Z,ACTIVE,Bracelet argenté en labradorite 6 mm,bracelet-argente-en-labradorite-6-mm,https://milaura.fr/products/bracelet-argente-en-labradorite-6-mm,0,labradorite,bracelet,bijoux-pierres-naturelles|bracelets-pierres|nouveautes|recos-pool,bracelets-pierres,True,par-pierre-labradorite,par-pierre-labradorite,,
2026-09-22T12:37:15Z,ACTIVE,Bracelet doré en howlite blanche 6 mm,bracelet-dore-en-howlite-blanche-6-mm,https://milaura.fr/products/bracelet-dore-en-howlite-blanche-6-mm,0,howlite,bracelet,bijoux-pierres-naturelles|bracelets-pierres|nouveautes|recos-pool,bracelets-pierres,True,par-pierre-howlite,par-pierre-howlite,,
2026-09-22T12:38:19Z,ACTIVE,Bracelet doré en obsidienne noire 6 mm,bracelet-dore-en-obsidienne-noire-6-mm,https://milaura.fr/products/bracelet-dore-en-obsidienne-noire-6-mm,0,obsidienne-noire,bracelet,bijoux-pierres-naturelles|bracelets-pierres|nouveautes|recos-pool,bracelets-pierres,True,par-pierre-obsidienne,par-pierre-obsidienne,,
2026-09-22T12:39:26Z,ACTIVE,Bracelet doré en oeil de tigre 6 mm,bracelet-dore-en-oeil-de-tigre-6-mm,https://milaura.fr/products/bracelet-dore-en-oeil-de-tigre-6-mm,0,oeil-de-tigre,bracelet,bijoux-pierres-naturelles|bracelets-pierres|nouveautes|recos-pool,bracelets-pierres,True,par-pierre-oeil-de-tigre,par-pierre-oeil-de-tigre,,
