handle,title,url,public_visible_products,shopify_reported_products_all_statuses,empty_public,public_product_handles
amour-relations,Amour et relations,https://milaura.fr/collections/amour-relations,20,22,NO,bracelet-dore-en-quartz-rose-8-mm|savon-quartz-rose|collier-quartz-rose-boho-dore|accessoire-porte-cles-goutte-en-quartz-rose|accessoire-mineral-grenouille-en-quartz-rose-50-mm|accessoire-flacon-roll-on-en-quartz-rose|bracelet-en-quartz-rose-du-bresil-6-mm-16-a-18-cm|bracelet-baroque-en-quartz-rose-de-madagascar-16-a-18-cm|distributeur-de-savon-en-quartz-rose-100-a-150-mm|collier-en-quartz-rose-4-mm-45-cm|bracelet-en-quartz-rose-12-mm-16-a-18-cm|pendule-conique-en-quartz-rose-du-bresil|boucles-d-oreilles-puces-en-quartz-rose-6-mm|pendule-egyptien-en-quartz-rose-du-bresil|boucles-d-oreilles-puces-en-quartz-rose-10-mm|boucles-d-oreilles-puces-en-quartz-rose-8-mm|bracelet-rosalia-dore-en-quartz-rose-et-rhodonite-3-mm|bracelet-mira-dore-en-quartz-rose-et-cristal-de-roche|bracelet-calysta-dore-en-quartz-rose-et-cristal-de-roche|bougie-elegance-ambre-quartz
bagues-pierres,Bagues en pierres naturelles,https://milaura.fr/collections/bagues-pierres,4,9,NO,bague-ouverte-doree-en-aigue-marine-naturelle-taille-54|bague-doree-en-sodalite-taille-54|bague-ouverte-en-argent-925-et-aigue-marine-7-mm|bague-en-argent-925-et-aigue-marine-du-bresil
bestsellers,Bestsellers,https://milaura.fr/collections/bestsellers,7,61,NO,collier-nuage-argente-en-aigue-marine-4-mm-40-a-45-cm|bracelet-en-aigue-marine-4-5-a-5-5-mm-16-a-18-cm|distributeur-savon-lapis-lazuli|bougie-protection-oud-obsidienne|bougie-elegance-ambre-quartz|bougie-joie-fleur-oranger-aventurine|bougie-reconfort-neroli-calcedoine
bijoux-pierres-naturelles,Bijoux & Pierres Naturelles,https://milaura.fr/collections/bijoux-pierres-naturelles,170,513,NO,bracelet-aventurine-rouge-1|bracelet-en-dumortierite-6-mm|bracelet-labradorite|bracelet-seraphinite|pendentif-aventurine|pendentif-chrysocolle|pendentif-rhodonite|pendentif-sodalite|collier-en-jade-de-chine-6-mm-45-cm|collier-pyrite-1|boucles-d-oreilles-puces-en-quartz-rose-10-mm|boucles-d-oreilles-puces-en-quartz-rose-8-mm|boucles-d-oreilles-puces-en-cornaline-8-mm|boucles-d-oreilles-puces-en-quartz-rose-6-mm|collier-quartz-rose-boho-dore|collier-aventurine-verte-boho-dore|bracelet-halo-dore-en-aventurine-verte-4-mm|collier-obsidienne-noire-boho-dore|collier-calcedoine-bleue-4mm|bague-ouverte-doree-en-aigue-marine-naturelle-taille-54|boucles-d-oreilles-dorees-en-aigue-marine-naturelle-36-mm|bracelet-dore-en-aigue-marine-naturelle-16-a-21-cm|bague-doree-en-sodalite-taille-54|boucles-d-oreilles-dorees-en-sodalite-36-mm|bracelet-dore-en-sodalite-et-pierres-bleues|bracelet-dore-en-amethyste-16-a-21-cm|collier-dore-en-sodalite-facettee-38-a-43-cm|bracelet-en-cyanite-bleue-perles-de-6-mm|chapelet-en-obsidienne-noire-perles-de-6-mm|boucles-d-oreilles-loa-argentees-en-sodalite-25-mm|bracelet-calysta-dore-en-quartz-rose-et-cristal-de-roche|bracelet-clea-dore-en-sodalite-8-mm|bracelet-halo-dore-en-sodalite-4-mm|bracelet-horus-dore-en-sodalite-6-mm|bracelet-mira-dore-en-cristal-de-roche-4-mm|bracelet-mira-dore-en-quartz-rose-et-cristal-de-roche|bracelet-murmure-dore-en-amethyste-4-mm|bracelet-rosalia-dore-en-quartz-rose-et-rhodonite-3-mm|boucles-d-oreilles-loa-argentees-en-aventurine-verte-25-mm|bracelet-alba-dore-en-jaspe-paysage-et-oeil-de-tigre|bracelet-eira-dore-en-amethyste-6-mm|bracelet-eira-dore-en-aventurine-verte-6-mm|bracelet-eira-dore-en-howlite-blanche-6-mm|bracelet-eira-dore-en-lapis-lazuli-6-mm|bracelet-en-amethyste-rubanee-6-mm|bracelet-en-apatite-bleue-6-mm-14-a-16-cm|bracelet-en-oeil-de-tigre-8-mm-16-a-18-cm|bracelet-en-agate-fleur-de-cerisier-10-mm|bracelet-en-amethyste-du-bresil-10-mm|bracelet-en-fluorine-multicolore-10-mm|bracelet-en-bois-de-palo-santo-10-mm|bague-ouverte-en-argent-925-et-aigue-marine-7-mm|bracelet-aska-noir-en-labradorite-et-onyx-6-mm|bracelet-aska-noir-en-oeil-de-taureau-et-onyx-6-mm|bracelet-aska-noir-en-oeil-de-tigre-et-onyx-6-mm|bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm|bracelet-en-turquoise-d-afrique-6-mm-16-a-18-cm|collier-boho-dore-en-amethyste-38-a-43-cm|collier-nuage-argente-en-aigue-marine-4-mm-40-a-45-cm|bracelet-en-rhodonite-d-australie-6-mm-16-a-18-cm|bracelet-en-lepidolite-8-mm-16-a-18-cm|bracelet-en-aventurine-verte-4-mm-16-a-18-cm|collier-en-aventurine-verte-6-mm-45-cm|boucles-d-oreilles-ornel-dorees-en-hematite-et-lapis-lazuli-35-mm|bracelet-aska-noir-en-lapis-lazuli-et-onyx|bracelet-kahel-argente-en-onyx-et-pierre-de-lave-8-mm|bracelet-mira-dore-en-amethyste-et-cristal-de-roche-16-a-22-cm|bracelet-baroque-en-obsidienne-mixte-16-a-18-cm|bracelet-en-lapis-lazuli-4-mm-16-a-18-cm|bracelet-en-tourmaline-multicolore-4-mm-16-a-18-cm|bracelet-en-corail-fossile-6-mm-16-a-18-cm|bracelet-en-jaspe-heliotrope-du-bresil-6-mm-16-a-18-cm|bracelet-en-angelite-8-mm-16-a-18-cm|bracelet-en-chrysocolle-du-congo-8-mm-16-a-18-cm|bracelet-en-cornaline-8-mm-16-a-18-cm|bracelet-en-pierre-de-lune-multicolore-10-mm-16-a-18-cm|bracelet-en-pierre-de-soleil-noire-orangee-10-mm-16-a-18-cm|collier-en-amethyste-du-bresil-4-mm-45-cm|collier-en-apatite-bleue-4-mm-45-cm|collier-en-lapis-lazuli-d-afghanistan-4-mm-45-cm|collier-en-howlite-blanche-6-mm-45-cm|collier-en-hematite-6-mm-45-cm|collier-en-oeil-de-taureau-6-mm-45-cm|collier-en-oeil-de-tigre-6-mm-45-cm|collier-en-rhodonite-de-madagascar-6-mm-45-cm|bague-en-argent-925-et-aigue-marine-du-bresil|bracelet-celyos-en-oeil-de-tigre-et-onyx|bracelet-kahel-en-onyx-et-hematite|bracelet-kahel-en-onyx-et-oeil-de-taureau|bracelet-legende-en-labradorite-oeil-de-tigre-et-hematite|bracelet-legende-en-oeil-de-tigre-et-onyx|chapelet-en-amethyste-6-mm|collier-en-jaspe-rouge-6-mm-45-cm|boucles-d-oreilles-auren-dorees-en-agate-indienne-4-mm|bracelet-baroque-en-aigue-marine-du-bresil-aa-16-a-18-cm|bracelet-baroque-en-jaspe-rouge-16-a-18-cm|collier-en-oeil-de-taureau-8-mm-45-cm|pendentif-coeur-en-jade-de-chine-15-mm|bracelet-kahel-argente-en-onyx-et-oeil-de-tigre|bracelet-baroque-en-fluorine-multicolore-16-a-18-cm|bracelet-baroque-en-hematite-16-a-18-cm|bracelet-fin-en-hematite-perles-de-4-mm|bracelet-en-amazonite-des-etats-unis-perles-de-6-mm|bracelet-en-hematite-perles-de-6-mm|collier-en-howlite-blanche-8-mm-45-cm|boucles-d-oreilles-puces-en-amethyste-8-mm|boucles-d-oreilles-puces-en-cornaline-10-mm|boucles-d-oreilles-puces-en-obsidienne-noire-10-mm|bracelet-unys-argente-en-onyx-et-oeil-de-taureau|bracelet-baroque-7-chakras-avec-amethyste|bracelet-baroque-en-amethyste-du-bresil-16-a-18-cm|bracelet-baroque-en-apatite-bleue-16-a-18-cm|bracelet-en-calcedoine-bleue-de-namibie-perles-de-6-mm|bracelet-en-cornaline-perles-de-6-mm|bracelet-en-howlite-blanche-perles-de-6-mm|bracelet-en-malachite-perles-de-6-mm|bracelet-en-pierre-de-lune-multicolore-perles-de-6-mm|bracelet-en-agate-bandee-perles-de-8-mm|bracelet-en-aigue-marine-chauffee-du-bresil-perles-de-8-mm|bracelet-en-citrine-chauffee-8-mm-16-a-18-cm|bracelet-en-obsidienne-noire-10-mm-16-a-18-cm|bracelet-en-quartz-rose-12-mm-16-a-18-cm|bracelet-en-cornaline-14-mm-16-a-18-cm|collier-en-quartz-rose-4-mm-45-cm|bracelet-en-cornaline-10-mm-16-a-18-cm|bracelet-en-aigue-marine-4-5-a-5-5-mm-16-a-18-cm|pendentif-coeur-en-fluorine-verte-15-mm|bracelet-baroque-en-ambre-jaune-16-a-18-cm|bracelet-baroque-en-aventurine-verte-16-a-18-cm|bracelet-baroque-en-citrine-chauffee-16-a-18-cm|bracelet-baroque-en-quartz-rose-de-madagascar-16-a-18-cm|bracelet-en-quartz-rose-du-bresil-6-mm-16-a-18-cm|collier-dore-en-cristal-de-roche|collier-dore-en-labradorite|collier-dore-en-oeil-de-tigre|bracelet-en-aventurine-verte-perles-de-8-mm|bracelet-dore-a-fleurs-de-nacre|bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine|bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche|bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche|bracelet-dore-en-nacre-et-pierre-de-lune|bracelet-dore-en-sodalite-perles-de-6-mm|bracelet-en-aventurine-bleue-perles-de-6-mm|bracelet-en-zoisite-perles-de-10-mm|bracelet-dore-en-cornaline-facettee|collier-argente-en-sodalite-a-pampilles|bracelet-celyos-argente-lapis-lazuli-onyx-a|collier-boule-06mm-jaspe-rouge-a|bracelet-dore-en-grenat-rhodolite-3-mm|bracelet-dore-en-lapis-lazuli-4-a-12-mm|bracelet-dore-en-howlite-et-pierre-de-lave-6-mm|bracelet-dore-en-aventurine-verte-8-mm|bracelet-dore-en-labradorite-8-mm|bracelet-dore-en-quartz-rose-8-mm|bracelet-argente-en-labradorite-6-mm|bracelet-dore-en-howlite-blanche-6-mm|bracelet-dore-en-obsidienne-noire-6-mm|bracelet-dore-en-oeil-de-tigre-6-mm|bracelet-dore-en-sodalite-6-mm|bracelet-argente-en-labradorite-8-mm|bracelet-dore-en-cornaline-6-mm|bracelet-dore-en-aventurine-verte-6-mm|bracelet-en-grenat-rouge-4-mm|bracelet-en-grenat-rouge-6-mm|bracelet-en-grenat-rouge-8-mm|bracelet-facette-en-grenat-rouge-4-mm|boucles-d-oreilles-puces-en-grenat-rouge-8-mm|boucles-d-oreilles-pendantes-en-grenat-rouge-12-mm|collier-en-grenat-rouge-4-mm-45-cm|collier-en-grenat-rouge-6-mm-45-cm
bols-chantants,Bols chantants,https://milaura.fr/collections/bols-chantants,0,3,YES,
boucles-oreilles,Boucles d'oreilles en pierres naturelles,https://milaura.fr/collections/boucles-oreilles,15,26,NO,boucles-d-oreilles-pendantes-en-grenat-rouge-12-mm|boucles-d-oreilles-puces-en-grenat-rouge-8-mm|boucles-d-oreilles-dorees-en-aigue-marine-naturelle-36-mm|boucles-d-oreilles-puces-en-cornaline-10-mm|boucles-d-oreilles-puces-en-amethyste-8-mm|boucles-d-oreilles-puces-en-obsidienne-noire-10-mm|boucles-d-oreilles-auren-dorees-en-agate-indienne-4-mm|boucles-d-oreilles-puces-en-quartz-rose-6-mm|boucles-d-oreilles-dorees-en-sodalite-36-mm|boucles-d-oreilles-ornel-dorees-en-hematite-et-lapis-lazuli-35-mm|boucles-d-oreilles-loa-argentees-en-aventurine-verte-25-mm|boucles-d-oreilles-loa-argentees-en-sodalite-25-mm|boucles-d-oreilles-puces-en-quartz-rose-8-mm|boucles-d-oreilles-puces-en-quartz-rose-10-mm|boucles-d-oreilles-puces-en-cornaline-8-mm
bougies-emotionnelles,Bougies Émotionnelles,https://milaura.fr/collections/bougies-emotionnelles,5,5,NO,bougie-joie-fleur-oranger-aventurine|bougie-elegance-ambre-quartz|bougie-serenite-the-amethyste|bougie-protection-oud-obsidienne|bougie-reconfort-neroli-calcedoine
bougies-senteurs,Bougies & Senteurs,https://milaura.fr/collections/bougies-senteurs,11,12,NO,sauge-blanche-au-romarin-10-cm-1-baton|sauge-blanche-en-baton-de-fumigation-10-cm|sauge-blanche-et-cedre|sauge-blanche-7-chakras-en-baton-10-cm|baton-de-fumigation-a-l-herbe-sacree-10-cm|baton-de-fumigation-a-l-eucalyptus-10-cm|bougie-joie-fleur-oranger-aventurine|bougie-elegance-ambre-quartz|bougie-serenite-the-amethyste|bougie-protection-oud-obsidienne|bougie-reconfort-neroli-calcedoine
bracelets-aigue-marine,Bracelets en aigue-marine,https://milaura.fr/collections/bracelets-aigue-marine,6,6,NO,bracelet-dore-en-aigue-marine-naturelle-16-a-21-cm|bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine|bracelet-en-aigue-marine-4-5-a-5-5-mm-16-a-18-cm|bracelet-en-aigue-marine-chauffee-du-bresil-perles-de-8-mm|bracelet-baroque-en-aigue-marine-du-bresil-aa-16-a-18-cm|bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm
bracelets-amethyste,Bracelets en améthyste,https://milaura.fr/collections/bracelets-amethyste,9,11,NO,bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche|bracelet-baroque-en-amethyste-du-bresil-16-a-18-cm|bracelet-baroque-7-chakras-avec-amethyste|bracelet-mira-dore-en-amethyste-et-cristal-de-roche-16-a-22-cm|bracelet-en-amethyste-du-bresil-10-mm|bracelet-en-amethyste-rubanee-6-mm|bracelet-eira-dore-en-amethyste-6-mm|bracelet-murmure-dore-en-amethyste-4-mm|bracelet-dore-en-amethyste-16-a-21-cm
