collection,title,url,expected_active_bijoux,public_visible_products,missing_active_bijoux,missing_product_titles,missing_product_handles,unexpected_or_non_bijou_active,unexpected_product_titles,unexpected_product_handles,hub_card_present,guide_a_z_linked,configured_piece_count_internal,configured_count_matches_public
par-pierre-agate,Bijoux en agate,https://milaura.fr/collections/par-pierre-agate,3,3,0,,,0,,,YES,YES,3,YES
par-pierre-aigue-marine,Bijoux en aigue-marine,https://milaura.fr/collections/par-pierre-aigue-marine,12,11,1,"Bracelet doré en tourmaline, quartz fumé et aigue-marine",bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine,0,,,YES,YES,12,NO
par-pierre-amazonite,Bijoux en amazonite,https://milaura.fr/collections/par-pierre-amazonite,1,2,0,,,1,Bracelet doré en sodalite et pierres bleues,bracelet-dore-en-sodalite-et-pierres-bleues,YES,YES,1,NO
par-pierre-ambre,Bijoux : Ambre,https://milaura.fr/collections/par-pierre-ambre,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-amethyste,Bijoux en améthyste,https://milaura.fr/collections/par-pierre-amethyste,13,20,0,,,7,Accessoire porte-clés en améthyste claire|Arbre minéral en améthyste du Brésil - 150 à 200 mm|Bougie Sérénité - Améthyste|Orgonite pyramide Arbre de Vie en améthyste - 60 mm|Orgonite pyramide Cercle magique en améthyste - 60 mm|Pendule 7 chakras hexagonal avec améthyste|Pendule hexagonal en améthyste du Brésil,accessoire-porte-cles-en-amethyste-claire|arbre-mineral-en-amethyste-du-bresil-150-a-200-mm|bougie-serenite-the-amethyste|orgonite-pyramide-arbre-de-vie-en-amethyste-60-mm|orgonite-pyramide-cercle-magique-en-amethyste-60-mm|pendule-7-chakras-hexagonal-avec-amethyste|pendule-hexagonal-en-amethyste-du-bresil,YES,YES,12,NO
par-pierre-angelite,Bijoux : Angélite,https://milaura.fr/collections/par-pierre-angelite,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-apatite-bleue,Bijoux : Apatite bleue,https://milaura.fr/collections/par-pierre-apatite-bleue,3,3,0,,,0,,,YES,NO,3,YES
par-pierre-aventurine,Bijoux en aventurine,https://milaura.fr/collections/par-pierre-aventurine,11,9,3,Bracelet doré en aventurine verte 6 mm|Bracelet doré en aventurine verte 8 mm|Bracelet en aventurine verte - Perles de 8 mm,bracelet-dore-en-aventurine-verte-6-mm|bracelet-dore-en-aventurine-verte-8-mm|bracelet-en-aventurine-verte-perles-de-8-mm,1,Bracelet en aventurine rouge 10 mm,bracelet-aventurine-rouge-1,YES,YES,6,NO
par-pierre-calcedoine-bleue,Bijoux : Calcédoine bleue,https://milaura.fr/collections/par-pierre-calcedoine-bleue,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-chrysocolle,Bijoux : Chrysocolle,https://milaura.fr/collections/par-pierre-chrysocolle,2,1,1,Pendentif brut en chrysocolle du Pérou - 30 à 40 mm,pendentif-chrysocolle,0,,,YES,NO,1,YES
