status,title,handle,stone_handles,missing_pierre_tags,product_url
ACTIVE,Bracelet doré en sodalite et pierres bleues,bracelet-dore-en-sodalite-et-pierres-bleues,sodalite|aigue-marine|lapis-lazuli|cristal-de-roche,pierre:aigue-marine|pierre:lapis-lazuli|pierre:cristal-de-roche,https://milaura.fr/products/bracelet-dore-en-sodalite-et-pierres-bleues
ACTIVE,Bracelet Calysta doré en quartz rose et cristal de roche,bracelet-calysta-dore-en-quartz-rose-et-cristal-de-roche,quartz-rose|quartz-fraise-hematoide|cristal-de-roche,pierre:quartz-fraise-hematoide|pierre:cristal-de-roche,https://milaura.fr/products/bracelet-calysta-dore-en-quartz-rose-et-cristal-de-roche
ACTIVE,Bracelet Mira doré en quartz rose et cristal de roche,bracelet-mira-dore-en-quartz-rose-et-cristal-de-roche,quartz-rose|cristal-de-roche,pierre:cristal-de-roche,https://milaura.fr/products/bracelet-mira-dore-en-quartz-rose-et-cristal-de-roche
ACTIVE,Bracelet Rosalia doré en quartz rose et rhodonite 3 mm,bracelet-rosalia-dore-en-quartz-rose-et-rhodonite-3-mm,quartz-rose|rhodonite,pierre:rhodonite,https://milaura.fr/products/bracelet-rosalia-dore-en-quartz-rose-et-rhodonite-3-mm
ACTIVE,Bracelet Alba doré en jaspe paysage et oeil de tigre,bracelet-alba-dore-en-jaspe-paysage-et-oeil-de-tigre,jaspe|oeil-de-tigre,pierre:oeil-de-tigre,https://milaura.fr/products/bracelet-alba-dore-en-jaspe-paysage-et-oeil-de-tigre
ACTIVE,Bracelet Aska noir en labradorite et onyx 6 mm,bracelet-aska-noir-en-labradorite-et-onyx-6-mm,labradorite|onyx,pierre:onyx,https://milaura.fr/products/bracelet-aska-noir-en-labradorite-et-onyx-6-mm
ACTIVE,Bracelet Aska noir en oeil de taureau et onyx 6 mm,bracelet-aska-noir-en-oeil-de-taureau-et-onyx-6-mm,oeil-de-taureau|onyx,pierre:onyx,https://milaura.fr/products/bracelet-aska-noir-en-oeil-de-taureau-et-onyx-6-mm
ACTIVE,Bracelet Aska noir en oeil de tigre et onyx 6 mm,bracelet-aska-noir-en-oeil-de-tigre-et-onyx-6-mm,oeil-de-tigre|onyx,pierre:onyx,https://milaura.fr/products/bracelet-aska-noir-en-oeil-de-tigre-et-onyx-6-mm
ACTIVE,"Bracelet Iris doré en aigue-marine, cornaline et grenat 4 mm",bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm,aigue-marine|cornaline|grenat,pierre:cornaline|pierre:grenat,https://milaura.fr/products/bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm
ACTIVE,Boucles d'oreilles Ornel dorées en hématite et lapis-lazuli - 35 mm,boucles-d-oreilles-ornel-dorees-en-hematite-et-lapis-lazuli-35-mm,lapis-lazuli|hematite,pierre:hematite,https://milaura.fr/products/boucles-d-oreilles-ornel-dorees-en-hematite-et-lapis-lazuli-35-mm
ACTIVE,Bracelet Aska noir en lapis-lazuli et onyx,bracelet-aska-noir-en-lapis-lazuli-et-onyx,lapis-lazuli|onyx,pierre:onyx,https://milaura.fr/products/bracelet-aska-noir-en-lapis-lazuli-et-onyx
ACTIVE,Bracelet Kahel argenté en onyx et pierre de lave 8 mm,bracelet-kahel-argente-en-onyx-et-pierre-de-lave-8-mm,onyx|pierre-de-lave,pierre:pierre-de-lave,https://milaura.fr/products/bracelet-kahel-argente-en-onyx-et-pierre-de-lave-8-mm
ACTIVE,Bracelet Mira doré en améthyste et cristal de roche - 16 à 22 cm,bracelet-mira-dore-en-amethyste-et-cristal-de-roche-16-a-22-cm,amethyste|cristal-de-roche,pierre:cristal-de-roche,https://milaura.fr/products/bracelet-mira-dore-en-amethyste-et-cristal-de-roche-16-a-22-cm
ACTIVE,Bracelet Célyos en œil de tigre et onyx,bracelet-celyos-en-oeil-de-tigre-et-onyx,oeil-de-tigre|onyx,pierre:onyx,https://milaura.fr/products/bracelet-celyos-en-oeil-de-tigre-et-onyx
ACTIVE,Bracelet Kahel en onyx et hématite,bracelet-kahel-en-onyx-et-hematite,onyx|hematite,pierre:hematite,https://milaura.fr/products/bracelet-kahel-en-onyx-et-hematite
ACTIVE,Bracelet Kahel en onyx et œil de taureau,bracelet-kahel-en-onyx-et-oeil-de-taureau,onyx|oeil-de-taureau,pierre:oeil-de-taureau,https://milaura.fr/products/bracelet-kahel-en-onyx-et-oeil-de-taureau
ACTIVE,"Bracelet Légende en labradorite, œil de tigre et hématite",bracelet-legende-en-labradorite-oeil-de-tigre-et-hematite,labradorite|oeil-de-tigre|hematite,pierre:oeil-de-tigre|pierre:hematite,https://milaura.fr/products/bracelet-legende-en-labradorite-oeil-de-tigre-et-hematite
ACTIVE,Bracelet Légende en œil de tigre et onyx,bracelet-legende-en-oeil-de-tigre-et-onyx,oeil-de-tigre|onyx,pierre:onyx,https://milaura.fr/products/bracelet-legende-en-oeil-de-tigre-et-onyx
ACTIVE,Bracelet Kahel argenté en onyx et œil de tigre,bracelet-kahel-argente-en-onyx-et-oeil-de-tigre,onyx|oeil-de-tigre,pierre:oeil-de-tigre,https://milaura.fr/products/bracelet-kahel-argente-en-onyx-et-oeil-de-tigre
ACTIVE,Bracelet Unys argenté en onyx et œil de taureau,bracelet-unys-argente-en-onyx-et-oeil-de-taureau,onyx|oeil-de-taureau,pierre:oeil-de-taureau,https://milaura.fr/products/bracelet-unys-argente-en-onyx-et-oeil-de-taureau
